"metric","base-llm","FT-llm"
"ANOnto","0.0","0.75"
"AROnto","6.0","1.25"
"CBOOnto","0.75","0.75"
"CBOnto2","0.75","0.75"
"CROnto","0.0","1.75"
"DITOnto","2.0","2.0"
"INROnto","0.75","0.75"
"LCOMOnto","1.0","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","3.0","3.0"
"NOMOnto","12.0","3.75"
"POnto","0.0","0.0"
"PROnto","0.9411764705882353","0.8333333333333334"
"RFCOnto","12.75","4.5"
"RROnto","0.058823529411764705","0.16666666666666666"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.0","1.0"
"WMCOnto2","1.0","1.0"
