"metric","base-llm","FT-llm"
"ANOnto","0.0","1.3333333333333333"
"AROnto","2.25","5.0"
"CBOOnto","0.9166666666666666","0.6666666666666666"
"CBOnto2","0.9166666666666666","0.6666666666666666"
"CROnto","0.0","0.0"
"DITOnto","3.0","2.0"
"INROnto","0.9166666666666666","0.6666666666666666"
"LCOMOnto","1.1","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","5.5","2.0"
"NOMOnto","4.5","15.0"
"POnto","0.08333333333333333","0.0"
"PROnto","0.8307692307692308","0.9574468085106383"
"RFCOnto","5.416666666666667","15.666666666666666"
"RROnto","0.16923076923076924","0.0425531914893617"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.1","1.0"
"WMCOnto2","1.0","1.0"
