"metric","base-llm","FT-llm"
"ANOnto","0.0","0.8888888888888888"
"AROnto","7.111111111111111","0.8888888888888888"
"CBOOnto","0.8888888888888888","0.8888888888888888"
"CBOnto2","0.8888888888888888","0.8888888888888888"
"CROnto","0.0","0.0"
"DITOnto","2.0","2.0"
"INROnto","0.8888888888888888","0.8888888888888888"
"LCOMOnto","1.0","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","8.0","8.0"
"NOMOnto","21.333333333333332","2.6666666666666665"
"POnto","0.0","0.0"
"PROnto","0.96","0.75"
"RFCOnto","22.22222222222222","3.5555555555555554"
"RROnto","0.04","0.25"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.0","1.0"
"WMCOnto2","1.0","1.0"
