"metric","base-llm","FT-llm"
"ANOnto","0.0","0.8"
"AROnto","1.6666666666666667","1.8"
"CBOOnto","0.8333333333333334","0.8"
"CBOnto2","0.8333333333333334","0.8"
"CROnto","0.0","0.0"
"DITOnto","2.0","2.0"
"INROnto","0.8333333333333334","0.8"
"LCOMOnto","1.0","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","5.0","4.0"
"NOMOnto","5.0","5.4"
"POnto","0.0","0.0"
"PROnto","0.8571428571428571","0.8709677419354839"
"RFCOnto","5.833333333333333","6.2"
"RROnto","0.14285714285714285","0.12903225806451613"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.0","1.0"
"WMCOnto2","1.0","1.0"
