"metric","base-llm","FT-llm"
"ANOnto","0.0","0.8333333333333334"
"AROnto","0.0","2.1666666666666665"
"CBOOnto","0.875","0.8333333333333334"
"CBOnto2","0.875","0.8333333333333334"
"CROnto","0.25","0.0"
"DITOnto","2.0","2.0"
"INROnto","0.875","0.8333333333333334"
"LCOMOnto","1.0","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","7.0","5.0"
"NOMOnto","0.0","6.5"
"POnto","0.0","0.0"
"PROnto","0.0","0.8863636363636364"
"RFCOnto","0.875","7.333333333333333"
"RROnto","1.0","0.11363636363636363"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.0","1.0"
"WMCOnto2","1.0","1.0"
