"metric","base-llm","FT-llm"
"ANOnto","0.0","0.8571428571428571"
"AROnto","0.0","2.4285714285714284"
"CBOOnto","0.9444444444444444","0.8571428571428571"
"CBOnto2","0.9444444444444444","0.8571428571428571"
"CROnto","0.0","0.0"
"DITOnto","2.0","2.0"
"INROnto","0.9444444444444444","0.8571428571428571"
"LCOMOnto","1.0","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","17.0","6.0"
"NOMOnto","0.0","7.285714285714286"
"POnto","0.0","0.0"
"PROnto","0.0","0.8947368421052632"
"RFCOnto","0.9444444444444444","8.142857142857142"
"RROnto","1.0","0.10526315789473684"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.0","1.0"
"WMCOnto2","1.0","1.0"
