"metric","base-llm","FT-llm"
"ANOnto","0.8888888888888888","0.8"
"AROnto","0.0","2.2"
"CBOOnto","0.8888888888888888","0.8"
"CBOnto2","0.8888888888888888","0.8"
"CROnto","2.6666666666666665","0.0"
"DITOnto","2.0","2.0"
"INROnto","0.8888888888888888","0.8"
"LCOMOnto","1.0","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","8.0","4.0"
"NOMOnto","3.5555555555555554","6.6"
"POnto","0.0","0.0"
"PROnto","0.8","0.8918918918918919"
"RFCOnto","4.444444444444445","7.4"
"RROnto","0.2","0.10810810810810811"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.0","1.0"
"WMCOnto2","1.0","1.0"
