"metric","base-llm","FT-llm"
"ANOnto","0.125","0.8"
"AROnto","0.0","2.4"
"CBOOnto","0.875","0.8"
"CBOnto2","0.875","0.8"
"CROnto","3.0","0.0"
"DITOnto","4.0","2.0"
"INROnto","0.875","0.8"
"LCOMOnto","1.4","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","2.3333333333333335","4.0"
"NOMOnto","2.5","7.4"
"POnto","0.25","0.0"
"PROnto","0.7407407407407407","0.9024390243902439"
"RFCOnto","3.375","8.2"
"RROnto","0.25925925925925924","0.0975609756097561"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.4","1.0"
"WMCOnto2","1.0","1.0"
