"metric","base-llm","FT-llm"
"ANOnto","0.25","0.8333333333333334"
"AROnto","1.625","2.0"
"CBOOnto","0.875","0.8333333333333334"
"CBOnto2","0.875","0.8333333333333334"
"CROnto","0.0","0.0"
"DITOnto","3.0","2.0"
"INROnto","0.875","0.8333333333333334"
"LCOMOnto","1.1666666666666667","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","3.5","5.0"
"NOMOnto","4.875","6.166666666666667"
"POnto","0.125","0.0"
"PROnto","0.8478260869565217","0.8809523809523809"
"RFCOnto","5.75","7.0"
"RROnto","0.15217391304347827","0.11904761904761904"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.1666666666666667","1.0"
"WMCOnto2","1.0","1.0"
