"metric","base-llm","FT-llm"
"ANOnto","0.0","0.8"
"AROnto","2.909090909090909","2.0"
"CBOOnto","0.9090909090909091","0.8"
"CBOnto2","0.9090909090909091","0.8"
"CROnto","0.7272727272727273","0.0"
"DITOnto","3.0","2.0"
"INROnto","0.9090909090909091","0.8"
"LCOMOnto","1.1111111111111112","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","5.0","4.0"
"NOMOnto","5.090909090909091","6.0"
"POnto","0.18181818181818182","0.0"
"PROnto","0.8484848484848485","0.8823529411764706"
"RFCOnto","6.0","6.8"
"RROnto","0.15151515151515152","0.11764705882352941"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.1111111111111112","1.0"
"WMCOnto2","1.0","1.0"
