"metric","base-llm","FT-llm"
"ANOnto","0.09090909090909091","0.9285714285714286"
"AROnto","2.3636363636363638","0.7857142857142857"
"CBOOnto","0.9545454545454546","0.9285714285714286"
"CBOnto2","0.9545454545454546","0.9285714285714286"
"CROnto","0.0","0.0"
"DITOnto","3.0","2.0"
"INROnto","0.9545454545454546","0.9285714285714286"
"LCOMOnto","1.05","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","10.5","13.0"
"NOMOnto","3.590909090909091","2.357142857142857"
"POnto","0.045454545454545456","0.0"
"PROnto","0.79","0.717391304347826"
"RFCOnto","4.545454545454546","3.2857142857142856"
"RROnto","0.21","0.2826086956521739"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.05","1.0"
"WMCOnto2","1.0","1.0"
