"","metric","FT_llama-2-13b_CustomerComplaint"
"1","ANOnto","0.8571428571428571"
"2","AROnto","2.4285714285714284"
"3","CBOOnto","0.8571428571428571"
"4","CBOnto2","0.8571428571428571"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.8571428571428571"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","6.0"
"11","NOMOnto","7.285714285714286"
"12","POnto","0.0"
"13","PROnto","0.8947368421052632"
"14","RFCOnto","8.142857142857142"
"15","RROnto","0.10526315789473684"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
