"","metric","RAG_GPT-4_BrazilianE-commerce"
"1","ANOnto","0.6666666666666666"
"2","AROnto","3.0"
"3","CBOOnto","0.6666666666666666"
"4","CBOnto2","0.6666666666666666"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.6666666666666666"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","2.0"
"11","NOMOnto","9.0"
"12","POnto","0.0"
"13","PROnto","0.9310344827586207"
"14","RFCOnto","9.666666666666666"
"15","RROnto","0.06896551724137931"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
