"","metric","base-llm_mixtral_CustomerComplaint"
"1","ANOnto","0.0"
"2","AROnto","1.1304347826086956"
"3","CBOOnto","0.9565217391304348"
"4","CBOnto2","0.9565217391304348"
"5","CROnto","0.34782608695652173"
"6","DITOnto","3.0"
"7","INROnto","0.9565217391304348"
"8","LCOMOnto","1.85"
"9","NACOnto","1.0"
"10","NOCOnto","7.333333333333333"
"11","NOMOnto","3.391304347826087"
"12","POnto","0.782608695652174"
"13","PROnto","0.78"
"14","RFCOnto","4.3478260869565215"
"15","RROnto","0.22"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.85"
"19","WMCOnto2","1.0"
