"metric","GPT-4o","llama-2-13b","llama-3-8b-4bits","llama-3-8b-8bits"
"ANOnto","0.9230769230769231","0.8571428571428571","0.8333333333333334","0.9230769230769231"
"AROnto","1.2307692307692308","2.4285714285714284","1.6666666666666667","1.3846153846153846"
"CBOOnto","0.9230769230769231","0.8571428571428571","0.8333333333333334","0.9230769230769231"
"CBOnto2","0.9230769230769231","0.8571428571428571","0.8333333333333334","0.9230769230769231"
"CROnto","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","3.0"
"INROnto","0.9230769230769231","0.8571428571428571","0.8333333333333334","0.9230769230769231"
"LCOMOnto","1.0","1.0","1.0","1.3"
"NACOnto","1.0","1.0","1.0","1.0"
"NOCOnto","12.0","6.0","5.0","4.0"
"NOMOnto","3.6923076923076925","7.285714285714286","5.0","4.153846153846154"
"POnto","0.0","0.0","0.0","0.23076923076923078"
"PROnto","0.8","0.8947368421052632","0.8571428571428571","0.8181818181818182"
"RFCOnto","4.615384615384615","8.142857142857142","5.833333333333333","5.076923076923077"
"RROnto","0.2","0.10526315789473684","0.14285714285714285","0.18181818181818182"
"TMOnto","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.3"
"WMCOnto2","1.0","1.0","1.0","1.0"
