"","metric","FT_llama-2-13b_AmazonRating"
"1","ANOnto","0.8333333333333334"
"2","AROnto","2.1666666666666665"
"3","CBOOnto","0.8333333333333334"
"4","CBOnto2","0.8333333333333334"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.8333333333333334"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","5.0"
"11","NOMOnto","6.5"
"12","POnto","0.0"
"13","PROnto","0.8863636363636364"
"14","RFCOnto","7.333333333333333"
"15","RROnto","0.11363636363636363"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
