"","metric","FT_llama-3-8b-8bits_BrazilianE-commerce"
"1","ANOnto","0.9230769230769231"
"2","AROnto","1.3846153846153846"
"3","CBOOnto","0.9230769230769231"
"4","CBOnto2","0.9230769230769231"
"5","CROnto","0.0"
"6","DITOnto","3.0"
"7","INROnto","0.9230769230769231"
"8","LCOMOnto","1.3"
"9","NACOnto","1.0"
"10","NOCOnto","4.0"
"11","NOMOnto","4.153846153846154"
"12","POnto","0.23076923076923078"
"13","PROnto","0.8181818181818182"
"14","RFCOnto","5.076923076923077"
"15","RROnto","0.18181818181818182"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.3"
"19","WMCOnto2","1.0"
