"","metric","base-llm_llama-3-70b_BrazilianE-commerce"
"1","ANOnto","0.0"
"2","AROnto","1.2857142857142858"
"3","CBOOnto","0.8571428571428571"
"4","CBOnto2","0.8571428571428571"
"5","CROnto","0.42857142857142855"
"6","DITOnto","2.0"
"7","INROnto","0.8571428571428571"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","6.0"
"11","NOMOnto","3.857142857142857"
"12","POnto","0.0"
"13","PROnto","0.8181818181818182"
"14","RFCOnto","4.714285714285714"
"15","RROnto","0.18181818181818182"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
