"","metric","base-llm_llama-3-70b_eCommerce"
"1","ANOnto","0.0"
"2","AROnto","2.75"
"3","CBOOnto","0.9166666666666666"
"4","CBOnto2","0.9166666666666666"
"5","CROnto","0.0"
"6","DITOnto","3.0"
"7","INROnto","0.9166666666666666"
"8","LCOMOnto","1.5"
"9","NACOnto","1.0"
"10","NOCOnto","2.75"
"11","NOMOnto","3.4166666666666665"
"12","POnto","0.3333333333333333"
"13","PROnto","0.7884615384615384"
"14","RFCOnto","4.333333333333333"
"15","RROnto","0.21153846153846154"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.5"
"19","WMCOnto2","1.0"
