"metric","GPT-4o","llama-2-13b","llama-3-8b-4bits","llama-3-8b-8bits"
"ANOnto","0.8","0.8333333333333334","0.8","0.8"
"AROnto","1.8","2.8333333333333335","2.4","1.0"
"CBOOnto","0.8","0.8333333333333334","0.8","0.8"
"CBOnto2","0.8","0.8333333333333334","0.8","0.8"
"CROnto","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0"
"INROnto","0.8","0.8333333333333334","0.8","0.8"
"LCOMOnto","1.0","1.0","1.0","1.0"
"NACOnto","1.0","1.0","1.0","1.0"
"NOCOnto","4.0","5.0","4.0","4.0"
"NOMOnto","5.4","8.166666666666666","7.4","3.4"
"POnto","0.0","0.0","0.0","0.0"
"PROnto","0.8709677419354839","0.9074074074074074","0.9024390243902439","0.8095238095238095"
"RFCOnto","6.2","9.0","8.2","4.2"
"RROnto","0.12903225806451613","0.09259259259259259","0.0975609756097561","0.19047619047619047"
"TMOnto","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0"
