"metric","GPT-4","GPT-4o"
"ANOnto","0.6666666666666666","0.6666666666666666"
"AROnto","3.0","2.0"
"CBOOnto","0.6666666666666666","0.6666666666666666"
"CBOnto2","0.6666666666666666","0.6666666666666666"
"CROnto","0.0","0.0"
"DITOnto","2.0","2.0"
"INROnto","0.6666666666666666","0.6666666666666666"
"LCOMOnto","1.0","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","2.0","2.0"
"NOMOnto","9.0","6.0"
"POnto","0.0","0.0"
"PROnto","0.9310344827586207","0.9"
"RFCOnto","9.666666666666666","6.666666666666667"
"RROnto","0.06896551724137931","0.1"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.0","1.0"
"WMCOnto2","1.0","1.0"
