"metric","BigBasketProducts","BrazilianE-commerce","eCommerce"
"ANOnto","0.0","0.0","0.0"
"AROnto","2.3","1.2857142857142858","2.75"
"CBOOnto","0.9","0.8571428571428571","0.9166666666666666"
"CBOnto2","0.9","0.8571428571428571","0.9166666666666666"
"CROnto","0.0","0.42857142857142855","0.0"
"DITOnto","3.0","2.0","3.0"
"INROnto","0.9","0.8571428571428571","0.9166666666666666"
"LCOMOnto","1.2857142857142858","1.0","1.5"
"NACOnto","1.0","1.0","1.0"
"NOCOnto","3.0","6.0","2.75"
"NOMOnto","4.5","3.857142857142857","3.4166666666666665"
"POnto","0.2","0.0","0.3333333333333333"
"PROnto","0.8333333333333334","0.8181818181818182","0.7884615384615384"
"RFCOnto","5.4","4.714285714285714","4.333333333333333"
"RROnto","0.16666666666666666","0.18181818181818182","0.21153846153846154"
"TMOnto","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0"
"WMCOnto","1.2857142857142858","1.0","1.5"
"WMCOnto2","1.0","1.0","1.0"
